cust_num,DMA,geo_demog_desc,comment_ind,prod_flg_10,prod_flg_11,tenure_months,dc_flg,cpe_cnt,svc_flg_01,svc_flg_02,prod_flg_01,prod_flg_02,prod_flg_03,prod_flg_04,prod_flg_05,prod_flg_06,prod_flg_07,prod_flg_08,prod_flg_09,prior_retention_handling_cnt,prior_escalations_cnt,prior_sprvsr_cnt,addl_cpe_cnt,prior_bill_credit_cnt,prior_bill_calls,prior_gen_Q_cnt,prior_svc_change_cnt,contract_flg,delta_metric_01,prior_reconnect_cnt,credit_score,vol_disco_ind,acct_type,product
37471055,Chicago IL,GREENBELT SPORTS,1,0,0,9,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,996,0,T019,P0003
37559688,Greenville-New Bern-Washington NC,"KID COUNTRY, USA",1,0,0,8,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,999,0,T019,P0003
37566969,New York NY,BOHEMIAN MIX,1,0,0,8,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,992,1,T019,P0003
37694531,Phoenix AZ,YOUNG DIGERATI,1,0,0,8,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,964,0,T019,P0003
37726795,Memphis TN,GREENBELT SPORTS,1,0,0,7,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,960,0,T019,P0003
37822979,New York NY,MONEY & BRAINS,1,0,0,6,Y,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-1.17,0,999,0,T019,P0003
37896142,Dallas-Ft Worth TX,"BRITE LITES, LITTLE CITY",1,0,0,6,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0.5,0,999,0,T019,P0003
37963297,Washington DC - Hagerstown MD,WINNER'S CIRCLE,1,0,0,3,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,,0,T019,P0003
44016354,Memphis TN,UPPER CRUST,1,0,0,3,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,N,0,0,990,0,T019,P0003
44035346,Atlanta GA,MOVERS & SHAKERS,1,0,0,3,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,2,N,0,0,989,0,T019,P0003
44104595,Los Angeles CA,URBAN ELDERS,1,0,0,2,Y,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,N,0,0,986,1,T019,P0003
44119148,Evansville IN,FAMILY THRIFTS,1,0,0,2,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,N,0,0,995,0,T019,P0003
44131846,Washington DC - Hagerstown MD,MOVERS & SHAKERS,1,0,0,2,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,N,0,0,999,0,T019,P0003
44184834,Tampa-St Petersburg FL,BIG SKY FAMILIES,1,0,0,1,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,N,0,0,958,0,T019,P0003
50097428,Los Angeles CA,URBAN ELDERS,1,0,0,4,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,N,0,0,,1,T019,P0003
50150650,New York NY,MULTI-CULTI MOSAIC,1,0,0,3,Y,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,0,1,N,0,0,980,0,T019,P0003
